Date,Hour,Temperature Number
17,8h15,32
17,8h30,33
17,8h45,32
17,9h10,31
17,9h50,33
17,,32.5
17,,32
17,10h,29
17,10h15,32
17,10h20,33
17,,32
17,,31.5
17,10h25,32
17,10h30,33
17,,32.5
17,,32
17,10h55,32
17,,29
17,,29
17,11h30,33
17,11h50,33
17,12h10,33
17,15h10,29
17,15h30,33
24,9h45,32
24,,29
24,,29
24,10h30,32
24,,31
24,,30
24,11h,32
24,,20
24,,29
24,11h10,32
24,,29
24,,28
31,7h20,31
31,7h40,30
31,8h50,31
31,9h,31
31,,30
31,,30
31,9h10,31
31,9h45,32
31,10h00,30
31,,28.5
31,,28
31,10h20,33
31,10h40,32
31,10h40,32
31,,31.5
31,,31
31,11h05,33
31,11h05,33
31,11h15,33
31,,32
31,,31.5
31,11h25,34
31,13h20,31
31,13h40,31
31,9h,31
7,,31
7,,30
7,10h05,29
7,,28.5
7,,28.5
7,10h20,32
7,,31
7,,30
7,10h30,30
7,,30
7,,29
14,8h20,28.5
14,8h30,30
14,8h40,28
14,8h45,30
14,9h20,29
14,9h45,30
14,10h10,29
14,10h10,31
14,,30
14,,30
14,10h30,31
14,,30
14,,29
14,11h00,32
14,,31
14,,30
14,11h30,29
14,,28
14,,28
14,12h05,31
14,12h30,31
14,12h40,31
14,15h15,29
14,15h35,30
21,10h20,31
21,,30
21,,30
21,10h30,31
21,,31
21,,30
21,11h,32
21,,31
21,,31
21,11h35,29
21,,28.5
21,,28.5
28,7h40,31
28,7h40,29
28,7h55,31
28,8h,28
28,8h40,29
28,9h,30
28,9h20,31
28,9h20,31
28,,30.5
28,,30
28,10h20,27
28,,26
28,,26
28,11h10,30
28,11h10,30
28,,30
28,,29
28,11h20,31
28,,30
28,,30
28,11h30,32
28,11h50,32
28,13h40,29
28,13h55,29
2,7h30,31
2,7h50,30
2,8h10,30
2,8h30,29
2,9h,29
2,9h25,30
2,9h45,29
2,10h,32
2,,32
2,,31
2,10h50,32
2,,31
2,,30
2,11h,29
2,,29
2,,28
2,11h10,32
2,12h10,32
2,12h40,32
2,13h,33
2,16h15,32
2,16h35,30
9,10h,32
9,,32
9,,31.5
9,10h30,32
9,,32
9,,31
9,10h50,32
9,,31
9,,30
9,11h05,29
9,,28
9,,28
16,7h30,31
16,7h50,29
16,8h10,32
16,9h10,31
16,9h30,32
16,,31
16,,31
16,9h50,33
16,10h20,33
16,10h25,29
16,,29
16,,28.5
16,10h50,32
16,,32
16,,31
16,11h,32
16,11h15,32
16,12h05,32
16,12h20,32
16,14h,30
16,14h20,31
23,9h,32
23,,31.5
23,,31.5
23,10h05,29
23,,28.5
23,,28.5
23,10h20,32
23,,32
23,,31
23,11h,32
23,,31
23,,31
30,7h40,31
30,8h,31
30,8h15,30
30,8h35,30
30,9h20,29.5
30,9h30,32.5
30,,32
30,,32
30,9h40,30
30,10h,30
30,10h30,31
30,,31
30,,30.5
30,11h,32
30,,31
30,,31
30,11h10,33
30,12h,33
30,12h20,33
30,14h20,31
30,14h35,32
13,7h50,29
13,8h05,27
13,9h05,29
13,9h20,29
13,9h30,29
13,,29
13,,28.5
13,10h20,29.5
13,10h30,30
13,,29
13,,29
13,10h40,30
13,10h45,29
13,,28.5
13,,28.5
13,11h05,31
13,11h30,31
13,11h55,31
13,13h30,28.5
13,13h50,29
27,7h40,28.5
27,8h,28
27,9h20,29
27,,30
27,,30
27,10h20,32
27,10h20,30
27,,29
27,,29
27,10h40,33
27,10h50,30
27,,29
27,,29
27,11h,32
27,11h10,33
27,11h20,31
27,11h30,33
27,11h45,33
27,11h55,32
27,13h20,30
27,13h45,31
11,8h45,29
11,8h50,29
11,9h,29
11,9h10,29
11,9h45,29
11,10h05,30
11,10h10,31
11,,31
11,,31
11,10h20,29.5
11,10h40,30
11,,30
11,,29
11,11h,31
11,,31
11,,30
11,11h10,30
11,,30
11,,29.5
11,12h30,32
11,12h50,32
11,13h10,32
11,14h20,30
11,14h50,30
25,7h30,25
25,7h55,25
25,9h30,28
25,,29
25,,29
25,10h30,27
25,,27
25,,26
25,10h30,27
25,,27
25,,26
25,11h05,25
25,11h20,25
25,11h45,26
25,13h15,27
25,13h20,25
25,13h30,26
25,13h40,25
25,14h00,26
25,14h15,26
25,14h40,26
25,19h,28
25,,29
25,,29
31,16h30,30
31,,29
31,,29
2,9h55,30
2,,29
2,,29
2,17h30,28.5
2,,28
8,10h30,29.5
8,,29
8,,29
8,10h30,29.5
8,,29
8,,29
8,10h40,29
8,,28
8,,28
8,11h20,28.5
8,,28
8,,28
22,10h20,27
22,,28
22,,28
22,10h30,28
22,,28
22,,27.5
22,10h50,27
22,,26
22,,26
22,11h20,
22,,26
22,,
7,10h20,25
7,,25
7,,25.5
7,10h30,25
7,,25
7,,26
7,10h40,25
7,,25.5
7,,25.5
7,11h20,25
7,,25
7,,25
8,10h20,29.5
8,,29
8,,29
8,10h30,29.5
8,,29
8,,29
8,10h40,28
8,,28
8,,28
8,11h20,28.5
8,,28
8,,28
20,9h30,25
20,,25
20,,25.5
20,10h20,24.5
20,,25
20,,25
20,10h30,25
20,,25
20,,25.5
20,10h40,25
20,,25
20,,25
