Date,Hour,Temperature Number
01/01/2015,00:00,19
01/01/2015,00:30,19
01/01/2015,01:00,19
01/01/2015,01:30,19
01/01/2015,02:00,19
01/01/2015,02:30,19
01/01/2015,03:00,20
01/01/2015,03:30,20
01/01/2015,04:00,20
01/01/2015,04:30,21
01/01/2015,05:00,21
01/01/2015,05:30,21
01/01/2015,06:00,21
01/01/2015,06:30,21
01/01/2015,07:00,21
01/01/2015,07:30,21
01/01/2015,08:00,21
01/01/2015,08:30,21
01/01/2015,09:00,21
01/01/2015,09:30,21
01/01/2015,10:00,21
01/01/2015,10:30,21
01/01/2015,11:00,21
01/01/2015,11:30,21
01/01/2015,12:00,21
01/01/2015,12:30,21
01/01/2015,13:00,21
01/01/2015,13:30,21
01/01/2015,14:00,21
01/01/2015,14:30,21
01/01/2015,15:00,21
01/01/2015,15:30,22
01/01/2015,16:00,21
01/01/2015,16:30,21
01/01/2015,17:00,21
01/01/2015,17:30,20
01/01/2015,18:00,20
01/01/2015,18:30,19
01/01/2015,19:00,19
01/01/2015,19:30,19
01/01/2015,20:00,19
01/01/2015,20:30,18
01/01/2015,21:00,18
01/01/2015,21:30,18
01/01/2015,22:00,18
01/01/2015,22:30,18
01/01/2015,23:00,18
01/01/2015,23:30,18
02/01/2015,00:00,18
02/01/2015,00:30,18
02/01/2015,01:00,18
02/01/2015,01:30,18
02/01/2015,02:00,18
02/01/2015,02:30,18
02/01/2015,03:00,18
02/01/2015,03:30,18
02/01/2015,04:00,18
02/01/2015,04:30,18
02/01/2015,05:00,18
02/01/2015,05:30,18
02/01/2015,06:00,18
02/01/2015,06:30,18
02/01/2015,07:00,18
02/01/2015,07:30,19
02/01/2015,08:00,19
02/01/2015,08:30,19
02/01/2015,09:00,19
02/01/2015,09:30,19
02/01/2015,10:00,20
02/01/2015,10:30,20
02/01/2015,11:00,20
02/01/2015,11:30,20
02/01/2015,12:00,20
02/01/2015,12:30,20
02/01/2015,13:00,20
02/01/2015,13:30,20
02/01/2015,14:00,20
02/01/2015,14:30,20
02/01/2015,15:00,20
02/01/2015,15:30,20
02/01/2015,16:00,20
02/01/2015,16:30,20
02/01/2015,17:00,20
02/01/2015,17:30,20
02/01/2015,18:00,20
02/01/2015,18:30,20
02/01/2015,19:00,19
02/01/2015,19:30,19
02/01/2015,20:00,19
02/01/2015,20:30,19
02/01/2015,21:00,19
02/01/2015,21:30,19
02/01/2015,22:00,19
02/01/2015,22:30,19
02/01/2015,23:00,19
02/01/2015,23:30,19
03/01/2015,00:00,19
03/01/2015,00:30,19
03/01/2015,01:00,19
03/01/2015,01:30,19
03/01/2015,02:00,19
03/01/2015,02:30,19
03/01/2015,03:00,19
03/01/2015,03:30,19
03/01/2015,04:00,19
03/01/2015,04:30,19
03/01/2015,05:00,19
03/01/2015,05:30,19
03/01/2015,06:00,19
03/01/2015,06:30,19
03/01/2015,07:00,19
03/01/2015,07:30,19
03/01/2015,08:00,19
03/01/2015,08:30,20
03/01/2015,09:00,20
03/01/2015,09:30,21
03/01/2015,10:00,22
03/01/2015,10:30,22
03/01/2015,11:00,22
03/01/2015,11:30,22
03/01/2015,12:00,23
03/01/2015,12:30,22
03/01/2015,13:00,22
03/01/2015,13:30,22
03/01/2015,14:00,23
03/01/2015,14:30,23
03/01/2015,15:00,23
03/01/2015,15:30,22
03/01/2015,16:00,22
03/01/2015,16:30,21
03/01/2015,17:00,20
03/01/2015,17:30,20
03/01/2015,18:00,20
03/01/2015,18:30,20
03/01/2015,19:00,20
03/01/2015,19:30,21
03/01/2015,20:00,21
03/01/2015,20:30,20
03/01/2015,21:00,20
03/01/2015,21:30,20
03/01/2015,22:00,20
03/01/2015,22:30,20
03/01/2015,23:00,20
03/01/2015,23:30,20
04/01/2015,00:00,20
04/01/2015,00:30,20
04/01/2015,01:00,20
04/01/2015,01:30,20
04/01/2015,02:00,20
04/01/2015,02:30,20
04/01/2015,03:00,20
04/01/2015,03:30,20
04/01/2015,04:00,19
04/01/2015,04:30,19
04/01/2015,05:00,20
04/01/2015,05:30,20
04/01/2015,06:00,20
04/01/2015,06:30,20
04/01/2015,07:00,20
04/01/2015,07:30,20
04/01/2015,08:00,22
04/01/2015,08:30,22
04/01/2015,09:00,23
04/01/2015,09:30,23
04/01/2015,10:00,23
04/01/2015,10:30,24
04/01/2015,11:00,24
04/01/2015,11:30,24
04/01/2015,12:00,23
04/01/2015,12:30,23
04/01/2015,13:00,24
04/01/2015,13:30,24
04/01/2015,14:00,24
04/01/2015,14:30,25
04/01/2015,15:00,25
04/01/2015,15:30,24
04/01/2015,16:00,24
04/01/2015,16:30,23
04/01/2015,17:00,23
04/01/2015,17:30,23
04/01/2015,18:00,23
04/01/2015,18:30,23
04/01/2015,19:00,23
04/01/2015,19:30,23
04/01/2015,20:00,23
04/01/2015,20:30,23
04/01/2015,21:00,22
04/01/2015,21:30,22
04/01/2015,22:00,22
04/01/2015,22:30,22
04/01/2015,23:00,21
04/01/2015,23:30,21
05/01/2015,00:00,21
05/01/2015,00:30,21
05/01/2015,01:00,21
05/01/2015,01:30,21
05/01/2015,02:00,21
05/01/2015,02:30,21
05/01/2015,03:00,21
05/01/2015,03:30,21
05/01/2015,04:00,21
05/01/2015,04:30,21
05/01/2015,05:00,21
05/01/2015,05:30,22
05/01/2015,06:00,22
05/01/2015,06:30,22
05/01/2015,07:00,22
05/01/2015,07:30,22
05/01/2015,08:00,22
05/01/2015,08:30,22
05/01/2015,09:00,23
05/01/2015,09:30,24
05/01/2015,10:00,23
05/01/2015,10:30,24
05/01/2015,11:00,25
05/01/2015,11:30,26
05/01/2015,12:00,25
05/01/2015,12:30,26
05/01/2015,13:00,27
05/01/2015,13:30,26
05/01/2015,14:00,26
05/01/2015,14:30,26
05/01/2015,15:00,26
05/01/2015,15:30,26
05/01/2015,16:00,25
05/01/2015,16:30,25
05/01/2015,17:00,24
05/01/2015,17:30,24
05/01/2015,18:00,23
05/01/2015,18:30,23
05/01/2015,19:00,23
05/01/2015,19:30,23
05/01/2015,20:00,23
05/01/2015,20:30,23
05/01/2015,21:00,22
05/01/2015,21:30,22
05/01/2015,22:00,23
05/01/2015,22:30,23
05/01/2015,23:00,23
05/01/2015,23:30,22
06/01/2015,00:00,22
06/01/2015,00:30,22
06/01/2015,01:00,22
06/01/2015,01:30,23
06/01/2015,02:00,23
06/01/2015,02:30,23
06/01/2015,03:00,23
06/01/2015,03:30,22
06/01/2015,04:00,22
06/01/2015,04:30,22
06/01/2015,05:00,22
06/01/2015,05:30,22
06/01/2015,06:00,22
06/01/2015,06:30,22
06/01/2015,07:00,22
06/01/2015,07:30,23
06/01/2015,08:00,23
06/01/2015,08:30,23
06/01/2015,09:00,23
06/01/2015,09:30,23
06/01/2015,10:00,24
06/01/2015,10:30,24
06/01/2015,11:00,26
06/01/2015,11:30,25
06/01/2015,12:00,26
06/01/2015,12:30,26
06/01/2015,13:00,26
06/01/2015,13:30,25
06/01/2015,14:00,25
06/01/2015,14:30,25
06/01/2015,15:00,25
06/01/2015,15:30,25
06/01/2015,16:00,25
06/01/2015,16:30,24
06/01/2015,17:00,24
06/01/2015,17:30,23
06/01/2015,18:00,23
06/01/2015,18:30,23
06/01/2015,19:00,22
06/01/2015,19:30,23
06/01/2015,20:00,23
06/01/2015,20:30,23
06/01/2015,21:00,23
06/01/2015,21:30,23
06/01/2015,22:00,23
06/01/2015,22:30,23
06/01/2015,23:00,23
06/01/2015,23:30,23
07/01/2015,00:00,23
07/01/2015,00:30,23
07/01/2015,01:00,23
07/01/2015,01:30,22
07/01/2015,02:00,22
07/01/2015,02:30,22
07/01/2015,03:00,22
07/01/2015,03:30,22
07/01/2015,04:00,22
07/01/2015,04:30,22
07/01/2015,05:00,22
07/01/2015,05:30,22
07/01/2015,06:00,22
07/01/2015,06:30,22
07/01/2015,07:00,23
07/01/2015,07:30,24
07/01/2015,08:00,24
07/01/2015,08:30,25
07/01/2015,09:00,25
07/01/2015,09:30,26
07/01/2015,10:00,26
07/01/2015,10:30,27
07/01/2015,11:00,28
07/01/2015,11:30,27
07/01/2015,12:00,28
07/01/2015,12:30,28
07/01/2015,13:00,28
07/01/2015,13:30,27
07/01/2015,14:00,27
07/01/2015,14:30,27
07/01/2015,15:00,27
07/01/2015,15:30,27
07/01/2015,16:00,26
07/01/2015,16:30,26
07/01/2015,17:00,25
07/01/2015,17:30,25
07/01/2015,18:00,25
07/01/2015,18:30,25
07/01/2015,19:00,24
07/01/2015,19:30,24
07/01/2015,20:00,24
07/01/2015,20:30,24
07/01/2015,21:00,24
07/01/2015,21:30,25
07/01/2015,22:00,24
07/01/2015,22:30,25
07/01/2015,23:00,24
07/01/2015,23:30,24
08/01/2015,00:00,24
08/01/2015,00:30,24
08/01/2015,01:00,23
