"Date","Hour","Temperature Number"
01/10/14,"00:00",27
01/10/14,"00:30",27
01/10/14,"01:00",27
01/10/14,"01:30",27
01/10/14,"02:00",26
01/10/14,"02:30",27
01/10/14,"03:00",26
01/10/14,"03:30",25
01/10/14,"04:00",25
01/10/14,"04:30",25
01/10/14,"05:00",25
01/10/14,"05:30",24
01/10/14,"06:00",25
01/10/14,"06:30",27
01/10/14,"07:00",27
01/10/14,"07:30",29
01/10/14,"08:00",31
01/10/14,"08:30",32
01/10/14,"09:00",33
01/10/14,"09:30",32
01/10/14,"10:00",30
01/10/14,"10:30",32
01/10/14,"11:00",32
01/10/14,"11:30",33
01/10/14,"12:00",32
01/10/14,"12:30",32
01/10/14,"13:00",32
01/10/14,"13:30",32
01/10/14,"14:00",32
01/10/14,"14:30",33
01/10/14,"15:00",32
01/10/14,"15:30",32
01/10/14,"16:00",31
01/10/14,"16:30",31
01/10/14,"17:00",30
01/10/14,"17:30",30
01/10/14,"18:00",29
01/10/14,"18:30",29
01/10/14,"19:00",29
01/10/14,"19:30",29
01/10/14,"20:00",29
01/10/14,"20:30",28
01/10/14,"21:00",28
01/10/14,"21:30",28
01/10/14,"22:00",27
01/10/14,"22:30",27
01/10/14,"23:00",27
01/10/14,"23:30",27
02/10/14,"00:00",26
02/10/14,"00:30",25
02/10/14,"01:00",26
02/10/14,"01:30",26
02/10/14,"02:00",26
02/10/14,"02:30",25
02/10/14,"03:00",24
02/10/14,"03:30",25
02/10/14,"04:00",25
02/10/14,"04:30",25
02/10/14,"05:00",24
02/10/14,"05:30",24
02/10/14,"06:00",24
02/10/14,"06:30",27
02/10/14,"07:00",27
02/10/14,"07:30",28
02/10/14,"08:00",30
02/10/14,"08:30",31
02/10/14,"09:00",30
02/10/14,"09:30",31
02/10/14,"10:00",32
02/10/14,"10:30",31
02/10/14,"11:00",32
02/10/14,"11:30",32
02/10/14,"12:00",32
02/10/14,"12:30",32
02/10/14,"13:00",32
02/10/14,"13:30",32
02/10/14,"14:00",32
02/10/14,"14:30",32
02/10/14,"15:00",32
02/10/14,"15:30",31
02/10/14,"16:00",31
02/10/14,"16:30",31
02/10/14,"17:00",30
02/10/14,"17:30",29
02/10/14,"18:00",29
02/10/14,"18:30",29
02/10/14,"19:00",29
02/10/14,"19:30",29
02/10/14,"20:00",28
02/10/14,"20:30",28
02/10/14,"21:00",28
02/10/14,"21:30",27
02/10/14,"22:00",27
02/10/14,"22:30",26
02/10/14,"23:00",26
02/10/14,"23:30",26
03/10/14,"00:00",26
03/10/14,"00:30",26
03/10/14,"01:00",25
03/10/14,"01:30",25
03/10/14,"02:00",25
03/10/14,"02:30",24
03/10/14,"03:00",25
03/10/14,"03:30",24
03/10/14,"04:00",24
03/10/14,"04:30",23
03/10/14,"05:00",24
03/10/14,"05:30",24
03/10/14,"06:00",24
03/10/14,"06:30",26
03/10/14,"07:00",27
03/10/14,"07:30",28
03/10/14,"08:00",30
03/10/14,"08:30",31
03/10/14,"09:00",32
03/10/14,"09:30",33
03/10/14,"10:00",32
03/10/14,"10:30",32
03/10/14,"11:00",32
03/10/14,"11:30",32
03/10/14,"12:00",33
03/10/14,"12:30",32
03/10/14,"13:00",33
03/10/14,"13:30",33
03/10/14,"14:00",32
03/10/14,"14:30",33
03/10/14,"15:00",32
03/10/14,"15:30",32
03/10/14,"16:00",32
03/10/14,"16:30",31
03/10/14,"17:00",30
03/10/14,"17:30",30
03/10/14,"18:00",30
03/10/14,"18:30",29
03/10/14,"19:00",30
03/10/14,"19:30",29
03/10/14,"20:00",29
03/10/14,"20:30",29
03/10/14,"21:00",28
03/10/14,"21:30",28
03/10/14,"22:00",27
03/10/14,"22:30",27
03/10/14,"23:00",27
03/10/14,"23:30",27
04/10/14,"00:00",27
04/10/14,"00:30",26
04/10/14,"01:00",26
04/10/14,"01:30",26
04/10/14,"02:00",26
04/10/14,"02:30",26
04/10/14,"03:00",25
04/10/14,"03:30",25
04/10/14,"04:00",25
04/10/14,"04:30",25
04/10/14,"05:00",24
04/10/14,"05:30",24
04/10/14,"06:00",24
04/10/14,"06:30",26
04/10/14,"07:00",27
04/10/14,"07:30",29
04/10/14,"08:00",30
04/10/14,"08:30",31
04/10/14,"09:00",32
04/10/14,"09:30",33
04/10/14,"10:00",33
04/10/14,"10:30",33
04/10/14,"11:00",33
04/10/14,"11:30",33
04/10/14,"12:00",33
04/10/14,"12:30",32
04/10/14,"13:00",32
04/10/14,"13:30",33
04/10/14,"14:00",33
04/10/14,"14:30",33
04/10/14,"15:00",32
04/10/14,"15:30",32
04/10/14,"16:00",31
04/10/14,"16:30",31
04/10/14,"17:00",30
04/10/14,"17:30",30
04/10/14,"18:00",30
04/10/14,"18:30",29
04/10/14,"19:00",29
04/10/14,"19:30",29
04/10/14,"20:00",29
04/10/14,"20:30",28
04/10/14,"21:00",28
04/10/14,"21:30",28
04/10/14,"22:00",27
04/10/14,"22:30",27
04/10/14,"23:00",26
04/10/14,"23:30",25
05/10/14,"00:00",26
05/10/14,"00:30",26
05/10/14,"01:00",26
05/10/14,"01:30",26
05/10/14,"02:00",25
05/10/14,"02:30",25
05/10/14,"03:00",25
05/10/14,"03:30",25
05/10/14,"04:00",25
05/10/14,"04:30",25
05/10/14,"05:00",25
05/10/14,"05:30",25
05/10/14,"06:00",25
05/10/14,"06:30",26
05/10/14,"07:00",26
05/10/14,"07:30",26
05/10/14,"08:00",26
05/10/14,"08:30",27
05/10/14,"09:00",28
05/10/14,"09:30",29
05/10/14,"10:00",29
05/10/14,"10:30",30
05/10/14,"11:00",29
05/10/14,"11:30",31
05/10/14,"12:00",31
05/10/14,"12:30",31
05/10/14,"13:00",29
05/10/14,"13:30",28
