"Date","Hour","Temperature Number"
01/07/14,"00:00",28
01/07/14,"00:30",28
01/07/14,"01:00",28
01/07/14,"01:30",28
01/07/14,"02:00",29
01/07/14,"02:30",28
01/07/14,"03:00",28
01/07/14,"03:30",27
01/07/14,"04:00",27
01/07/14,"04:30",26
01/07/14,"05:00",27
01/07/14,"05:30",27
01/07/14,"06:00",28
01/07/14,"06:30",29
01/07/14,"07:00",31
01/07/14,"07:30",32
01/07/14,"08:00",32
01/07/14,"08:30",33
01/07/14,"09:00",34
01/07/14,"09:30",35
01/07/14,"10:00",35
01/07/14,"10:30",36
01/07/14,"11:00",37
01/07/14,"11:30",37
01/07/14,"12:00",34
01/07/14,"12:30",34
01/07/14,"13:00",35
01/07/14,"13:30",33
01/07/14,"14:00",33
01/07/14,"14:30",33
01/07/14,"15:00",33
01/07/14,"15:30",33
01/07/14,"16:00",33
01/07/14,"16:30",32
01/07/14,"17:00",32
01/07/14,"17:30",31
01/07/14,"18:00",31
01/07/14,"18:30",31
01/07/14,"19:00",30
01/07/14,"19:30",30
01/07/14,"20:00",30
01/07/14,"20:30",30
01/07/14,"21:00",29
01/07/14,"21:30",29
01/07/14,"22:00",29
01/07/14,"22:30",29
01/07/14,"23:00",29
01/07/14,"23:30",29
02/07/14,"00:00",28
02/07/14,"00:30",28
02/07/14,"01:00",28
02/07/14,"01:30",27
02/07/14,"02:00",27
02/07/14,"02:30",27
02/07/14,"03:00",27
02/07/14,"03:30",27
02/07/14,"04:00",27
02/07/14,"04:30",27
02/07/14,"05:00",26
02/07/14,"05:30",26
02/07/14,"06:00",27
02/07/14,"06:30",29
02/07/14,"07:00",30
02/07/14,"07:30",32
02/07/14,"08:00",34
02/07/14,"08:30",35
02/07/14,"09:00",34
02/07/14,"09:30",35
02/07/14,"10:00",35
02/07/14,"10:30",36
02/07/14,"11:00",35
02/07/14,"11:30",36
02/07/14,"12:00",36
02/07/14,"12:30",36
02/07/14,"13:00",37
02/07/14,"13:30",35
02/07/14,"14:00",35
02/07/14,"14:30",36
02/07/14,"15:00",36
02/07/14,"15:30",35
02/07/14,"16:00",35
02/07/14,"16:30",34
02/07/14,"17:00",33
02/07/14,"17:30",33
02/07/14,"18:00",32
02/07/14,"18:30",31
02/07/14,"19:00",31
02/07/14,"19:30",31
02/07/14,"20:00",30
02/07/14,"20:30",30
02/07/14,"21:00",30
02/07/14,"21:30",30
02/07/14,"22:00",31
02/07/14,"22:30",31
02/07/14,"23:00",30
02/07/14,"23:30",30
03/07/14,"00:00",29
03/07/14,"00:30",29
03/07/14,"01:00",29
03/07/14,"01:30",29
03/07/14,"02:00",28
03/07/14,"02:30",29
03/07/14,"03:00",27
03/07/14,"03:30",27
03/07/14,"04:00",27
03/07/14,"04:30",27
03/07/14,"05:00",27
03/07/14,"05:30",27
03/07/14,"06:00",28
03/07/14,"06:30",29
03/07/14,"07:00",30
03/07/14,"07:30",31
03/07/14,"08:00",33
03/07/14,"08:30",34
03/07/14,"09:00",34
03/07/14,"09:30",34
03/07/14,"10:00",36
03/07/14,"10:30",36
03/07/14,"11:00",36
03/07/14,"11:30",36
03/07/14,"12:00",36
03/07/14,"12:30",36
03/07/14,"13:00",36
03/07/14,"13:30",36
03/07/14,"14:00",36
03/07/14,"14:30",36
03/07/14,"15:00",35
03/07/14,"15:30",34
03/07/14,"16:00",34
03/07/14,"16:30",34
03/07/14,"17:00",33
03/07/14,"17:30",32
03/07/14,"18:00",31
03/07/14,"18:30",31
03/07/14,"19:00",31
03/07/14,"19:30",31
03/07/14,"20:00",31
03/07/14,"20:30",30
03/07/14,"21:00",29
03/07/14,"21:30",28
03/07/14,"22:00",28
03/07/14,"22:30",28
03/07/14,"23:00",28
03/07/14,"23:30",28
04/07/14,"00:00",28
04/07/14,"00:30",28
04/07/14,"01:00",27
04/07/14,"01:30",27
04/07/14,"02:00",27
04/07/14,"02:30",26
04/07/14,"03:00",26
04/07/14,"03:30",26
04/07/14,"04:00",26
04/07/14,"04:30",26
04/07/14,"05:00",26
04/07/14,"05:30",26
04/07/14,"06:00",27
04/07/14,"06:30",28
04/07/14,"07:00",29
04/07/14,"07:30",30
04/07/14,"08:00",32
04/07/14,"08:30",33
04/07/14,"09:00",34
04/07/14,"09:30",35
04/07/14,"10:00",35
04/07/14,"10:30",36
04/07/14,"11:00",36
04/07/14,"11:30",36
04/07/14,"12:00",36
04/07/14,"12:30",35
04/07/14,"13:00",35
04/07/14,"13:30",35
04/07/14,"14:00",35
04/07/14,"14:30",34
04/07/14,"15:00",34
04/07/14,"15:30",34
04/07/14,"16:00",33
04/07/14,"16:30",32
04/07/14,"17:00",32
04/07/14,"17:30",31
04/07/14,"18:00",31
04/07/14,"18:30",31
04/07/14,"19:00",31
04/07/14,"19:30",31
04/07/14,"20:00",31
04/07/14,"20:30",31
04/07/14,"21:00",30
04/07/14,"21:30",31
04/07/14,"22:00",30
04/07/14,"22:30",30
04/07/14,"23:00",29
04/07/14,"23:30",29
05/07/14,"00:00",28
05/07/14,"00:30",28
05/07/14,"01:00",28
05/07/14,"01:30",27
05/07/14,"02:00",27
05/07/14,"02:30",27
05/07/14,"03:00",27
